170	0.021
171	0.023
172	0.024
173	0.026
174	0.028
175	0.03
176	0.033
177	0.035
178	0.038
179	0.04
180	0.043
181	0.046
182	0.049
183	0.053
184	0.056
185	0.06
186	0.064
187	0.068
188	0.073
189	0.077
190	0.082
191	0.087
192	0.093
193	0.099
194	0.105
195	0.111
196	0.118
197	0.125
198	0.132
199	0.139
200	0.147
201	0.156
202	0.164
203	0.174
204	0.183
205	0.193
206	0.204
207	0.214
208	0.226
209	0.238
210	0.25
211	0.263
212	0.276
213	0.29
214	0.305
215	0.32
216	0.335
217	0.352
218	0.369
219	0.386
220	0.405
221	0.423
222	0.443
223	0.464
224	0.485
225	0.507
226	0.529
227	0.553
228	0.577
229	0.602
230	0.628
231	0.655
232	0.683
233	0.712
234	0.741
235	0.772
236	0.804
237	0.837
238	0.87
239	0.905
240	0.941
241	0.978
242	1.016
243	1.056
244	1.096
245	1.138
246	1.181
247	1.225
248	1.271
249	1.317
250	1.366
251	1.415
252	1.466
253	1.518
254	1.572
255	1.627
256	1.684
257	1.742
258	1.802
259	1.864
260	1.927
261	1.991
262	2.058
263	2.126
264	2.195
265	2.267
266	2.34
267	2.415
268	2.492
269	2.57
270	2.651
271	2.733
272	2.818
273	2.904
274	2.993
275	3.083
276	3.175
277	3.27
278	3.367
279	3.465
280	3.566
281	3.67
282	3.775
283	3.883
284	3.993
285	4.105
286	4.22
287	4.337
288	4.456
289	4.578
290	4.703
291	4.829
292	4.959
293	5.091
294	5.226
295	5.363
296	5.503
297	5.645
298	5.79
299	5.938
300	6.089
301	6.243
302	6.399
303	6.559
304	6.721
305	6.886
306	7.054
307	7.225
308	7.399
309	7.576
310	7.756
311	7.94
312	8.126
313	8.316
314	8.509
315	8.705
316	8.904
317	9.107
318	9.312
319	9.522
320	9.734
321	9.95
322	10.17
323	10.393
324	10.619
325	10.849
326	11.082
327	11.319
328	11.56
329	11.804
330	12.052
331	12.304
332	12.559
333	12.818
334	13.081
335	13.347
336	13.618
337	13.892
338	14.17
339	14.452
340	14.738
341	15.028
342	15.322
343	15.62
344	15.922
345	16.228
346	16.539
347	16.853
348	17.171
349	17.494
350	17.821
351	18.152
352	18.487
353	18.827
354	19.171
355	19.519
356	19.871
357	20.228
358	20.59
359	20.955
360	21.326
361	21.7
362	22.08
363	22.463
364	22.851
365	23.244
366	23.642
367	24.044
368	24.45
369	24.862
